audio_path	raw_line
/root/autodl-tmp/zlynew/womenvoice/dataset/downloads/118 女领导的秘密--小烟.mp3	
/root/autodl-tmp/zlynew/womenvoice/dataset/downloads/118 女领导的秘密--小烟.mp3	前戏开始###
/root/autodl-tmp/zlynew/womenvoice/dataset/downloads/118 女领导的秘密--小烟.mp3	前戏结束###
/root/autodl-tmp/zlynew/womenvoice/dataset/downloads/118 女领导的秘密--小烟.mp3	
/root/autodl-tmp/zlynew/womenvoice/dataset/downloads/118 女领导的秘密--小烟.mp3	过程中$$$
/root/autodl-tmp/zlynew/womenvoice/dataset/downloads/118 女领导的秘密--小烟.mp3	$$$
/root/autodl-tmp/zlynew/womenvoice/dataset/downloads/118 女领导的秘密--小烟.mp3	
/root/autodl-tmp/zlynew/womenvoice/dataset/downloads/118 女领导的秘密--小烟.mp3	边干边接电话
/root/autodl-tmp/zlynew/womenvoice/dataset/downloads/118 女领导的秘密--小烟.mp3	
/root/autodl-tmp/zlynew/womenvoice/dataset/downloads/118 女领导的秘密--小烟.mp3	高潮开始%%%
/root/autodl-tmp/zlynew/womenvoice/dataset/downloads/118 女领导的秘密--小烟.mp3	高潮结束%%%
/root/autodl-tmp/zlynew/womenvoice/dataset/downloads/118 女领导的秘密--小烟.mp3	
